leaves,x0,x1,x2,x3,x4,x5,x6,orbits
21,1,0,1,1,2,2,2,1
23,1,0,2,1,2,2,2,1
21,1,1,0,1,2,2,2,2
23,1,1,1,1,2,2,2,1
25,1,1,2,1,2,2,2,1
23,1,2,0,1,2,2,2,1
25,1,2,1,1,2,2,2,1
27,1,2,2,1,2,2,2,2
21,1,0,0,2,2,2,2,3
23,1,0,1,2,2,2,2,2
25,1,0,2,2,2,2,2,2
23,1,1,0,2,2,2,2,3
25,1,1,1,2,2,2,2,2
27,1,1,2,2,2,2,2,2
25,1,2,0,2,2,2,2,2
27,1,2,1,2,2,2,2,2
29,1,2,2,2,2,2,2,3
