leaves,x0,x1,x2,x3,x4,x5,x6,x7,bottom_permutation,top_permutation,permutation,orbits
13,1,0,1,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 9)(2 13)(3 11)(4 8)(5 7)(6 10),"[[12, 9, 1, 4, 8, 5, 7, 10, 6, 3, 11, 13, 2, 0]]",1
15,1,0,2,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 12)(2 15)(3 11)(4 8)(5 7)(6 10)(9 13),"[[14, 11, 3, 6, 10, 7, 5, 8, 4, 1, 12, 9, 13, 15, 2, 0]]",1
13,1,1,0,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 9)(3 13)(4 8)(5 7)(6 10),"[[12, 9, 2, 0], [11, 13, 3, 6, 10, 7, 5, 8, 4, 1]]",2
15,1,1,1,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 12)(3 11)(4 8)(5 7)(6 10)(9 15),"[[14, 11, 3, 6, 10, 7, 5, 8, 4, 1, 13, 15, 9, 12, 2, 0]]",1
17,1,1,2,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 14)(3 11)(4 8)(5 7)(6 10)(9 13)(12 17),"[[16, 13, 9, 12, 17, 15, 1, 4, 8, 5, 7, 10, 6, 3, 11, 14, 2, 0]]",1
15,1,2,0,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 9)(3 12)(4 8)(5 7)(6 10)(11 15),"[[14, 11, 15, 13, 1, 4, 8, 5, 7, 10, 6, 3, 12, 9, 2, 0]]",1
17,1,2,1,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 12)(3 11)(4 8)(5 7)(6 10)(9 14)(13 17),"[[16, 13, 17, 15, 1, 4, 8, 5, 7, 10, 6, 3, 11, 14, 9, 12, 2, 0]]",1
19,1,2,2,2,1,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 17)(2 14)(3 11)(4 8)(5 7)(6 10)(9 13)(12 16)(15 19),"[[18, 15, 19, 17, 1, 4, 8, 5, 7, 10, 6, 3, 11, 14, 2, 0], [13, 16, 12, 9]]",2
11,1,0,0,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 4)(1 3)(2 10)(5 7)(6 9)(8 11),"[[4, 1, 3, 6, 9, 11, 8, 5, 7, 10, 2, 0]]",1
11,1,0,1,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 4)(2 11)(3 8)(5 7)(6 9),"[[10, 7, 5, 8, 3, 6, 9, 11, 2, 0], [4, 1]]",2
13,1,0,2,0,2,0,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 10)(2 13)(3 8)(4 11)(5 7)(6 9),"[[12, 9, 6, 3, 8, 5, 7, 10, 1, 4, 11, 13, 2, 0]]",1
