leaves,x0,x1,x2,x3,bottom_permutation,top_permutation,permutation,orbits
43,8,3,8,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 43),(0 42)(1 27)(2 22)(3 7)(4 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 24)(23 26)(25 29)(28 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43),"[[42, 39, 36, 33, 30, 27, 1, 4, 6, 3, 7, 10, 13, 16, 19, 22, 2, 0], [9, 12, 15, 18, 21, 24, 20, 17, 14, 11, 8, 5], [26, 23], [29, 32, 35, 38, 41, 43, 40, 37, 34, 31, 28, 25]]",4
45,8,4,8,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 45),(0 44)(1 29)(2 22)(3 7)(4 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 24)(23 26)(25 28)(27 31)(30 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45),"[[44, 41, 38, 35, 32, 29, 1, 4, 6, 3, 7, 10, 13, 16, 19, 22, 2, 0], [9, 12, 15, 18, 21, 24, 20, 17, 14, 11, 8, 5], [26, 23], [28, 25], [31, 34, 37, 40, 43, 45, 42, 39, 36, 33, 30, 27]]",5
47,8,5,8,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 47),(0 46)(1 31)(2 22)(3 7)(4 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 24)(23 26)(25 28)(27 30)(29 33)(32 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47),"[[46, 43, 40, 37, 34, 31, 1, 4, 6, 3, 7, 10, 13, 16, 19, 22, 2, 0], [9, 12, 15, 18, 21, 24, 20, 17, 14, 11, 8, 5], [26, 23], [28, 25], [30, 27], [33, 36, 39, 42, 45, 47, 44, 41, 38, 35, 32, 29]]",6
49,8,6,8,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 49),(0 48)(1 33)(2 22)(3 7)(4 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 24)(23 26)(25 28)(27 30)(29 32)(31 35)(34 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49),"[[48, 45, 42, 39, 36, 33, 1, 4, 6, 3, 7, 10, 13, 16, 19, 22, 2, 0], [9, 12, 15, 18, 21, 24, 20, 17, 14, 11, 8, 5], [26, 23], [28, 25], [30, 27], [32, 29], [35, 38, 41, 44, 47, 49, 46, 43, 40, 37, 34, 31]]",7
51,8,7,8,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 51),(0 50)(1 35)(2 22)(3 7)(4 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 37)(36 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51),"[[50, 47, 44, 41, 38, 35, 1, 4, 6, 3, 7, 10, 13, 16, 19, 22, 2, 0], [9, 12, 15, 18, 21, 24, 20, 17, 14, 11, 8, 5], [26, 23], [28, 25], [30, 27], [32, 29], [34, 31], [37, 40, 43, 46, 49, 51, 48, 45, 42, 39, 36, 33]]",8
53,8,8,8,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 20)(19 22)(21 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 38)(37 40)(39 42)(41 44)(43 46)(45 48)(47 50)(49 52)(51 53),(0 52)(1 37)(2 22)(3 7)(4 6)(5 9)(8 11)(10 13)(12 15)(14 17)(16 19)(18 21)(20 24)(23 26)(25 28)(27 30)(29 32)(31 34)(33 36)(35 39)(38 41)(40 43)(42 45)(44 47)(46 49)(48 51)(50 53),"[[52, 49, 46, 43, 40, 37, 1, 4, 6, 3, 7, 10, 13, 16, 19, 22, 2, 0], [9, 12, 15, 18, 21, 24, 20, 17, 14, 11, 8, 5], [26, 23], [28, 25], [30, 27], [32, 29], [34, 31], [36, 33], [39, 42, 45, 48, 51, 53, 50, 47, 44, 41, 38, 35]]",9
9,0,0,0,2,(0 2)(1 4)(3 6)(5 8)(7 9),(0 2)(1 7)(3 9)(4 6)(5 8),"[[2, 0], [7, 9, 3, 6, 4, 1], [8, 5]]",3
9,0,1,0,2,(0 2)(1 4)(3 6)(5 8)(7 9),(0 3)(1 9)(2 7)(4 6)(5 8),"[[3, 6, 4, 1, 9, 7, 2, 0], [8, 5]]",2
11,0,2,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 9)(1 11)(2 7)(3 10)(4 6)(5 8),"[[9, 11, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5]]",2
13,0,3,0,2,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 11)(1 13)(2 7)(3 10)(4 6)(5 8)(9 12),"[[11, 13, 1, 4, 6, 3, 10, 7, 2, 0], [8, 5], [12, 9]]",3
