leaves,x0,x1,x2,x3,x4,bottom_permutation,top_permutation,permutation,orbits
19,3,3,2,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 13)(2 8)(3 5)(4 7)(6 10)(9 12)(11 15)(14 17)(16 19),"[[18, 15, 11, 14, 17, 19, 16, 13, 1, 4, 7, 10, 6, 3, 5, 8, 2, 0], [12, 9]]",2
11,0,0,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 2)(1 10)(3 5)(4 7)(6 9)(8 11),"[[2, 0], [10, 7, 4, 1], [5, 8, 11, 9, 6, 3]]",3
11,0,1,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 8)(1 11)(2 10)(3 5)(4 7)(6 9),"[[8, 5, 3, 6, 9, 11, 1, 4, 7, 10, 2, 0]]",1
13,0,2,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 11)(1 13)(2 10)(3 5)(4 7)(6 9)(8 12),"[[11, 13, 1, 4, 7, 10, 2, 0], [5, 8, 12, 9, 6, 3]]",2
15,0,3,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 13)(1 15)(2 10)(3 5)(4 7)(6 9)(8 12)(11 14),"[[13, 15, 1, 4, 7, 10, 2, 0], [5, 8, 12, 9, 6, 3], [14, 11]]",3
11,1,0,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 8)(2 11)(3 5)(4 7)(6 9),"[[10, 7, 4, 1, 8, 5, 3, 6, 9, 11, 2, 0]]",1
13,1,1,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 10)(3 5)(4 7)(6 9)(8 13),"[[12, 9, 6, 3, 5, 8, 13, 11, 1, 4, 7, 10, 2, 0]]",1
15,1,2,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 10)(3 5)(4 7)(6 9)(8 12)(11 15),"[[14, 11, 15, 13, 1, 4, 7, 10, 2, 0], [5, 8, 12, 9, 6, 3]]",2
17,1,3,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 15)(2 10)(3 5)(4 7)(6 9)(8 12)(11 14)(13 17),"[[16, 13, 17, 15, 1, 4, 7, 10, 2, 0], [5, 8, 12, 9, 6, 3], [14, 11]]",3
13,2,0,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 8)(2 11)(3 5)(4 7)(6 9)(10 13),"[[12, 9, 6, 3, 5, 8, 1, 4, 7, 10, 13, 11, 2, 0]]",1
15,2,1,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 11)(2 10)(3 5)(4 7)(6 9)(8 13)(12 15),"[[14, 11, 1, 4, 7, 10, 2, 0], [5, 8, 13, 15, 12, 9, 6, 3]]",2
17,2,2,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 17),(0 16)(1 13)(2 10)(3 5)(4 7)(6 9)(8 12)(11 15)(14 17),"[[16, 13, 1, 4, 7, 10, 2, 0], [5, 8, 12, 9, 6, 3], [15, 17, 14, 11]]",3
19,2,3,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 16)(15 18)(17 19),(0 18)(1 15)(2 10)(3 5)(4 7)(6 9)(8 12)(11 14)(13 17)(16 19),"[[18, 15, 1, 4, 7, 10, 2, 0], [5, 8, 12, 9, 6, 3], [14, 11], [17, 19, 16, 13]]",4
15,3,0,3,0,0,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 8)(2 11)(3 5)(4 7)(6 9)(10 13)(12 15),"[[14, 11, 2, 0], [8, 5, 3, 6, 9, 12, 15, 13, 10, 7, 4, 1]]",2
