leaves,x0,x1,x2,x3,x4,x5,bottom_permutation,top_permutation,permutation,orbits
11,1,0,1,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 10)(1 4)(2 11)(3 7)(5 9)(6 8),"[[10, 7, 3, 6, 8, 5, 9, 11, 2, 0], [4, 1]]",2
13,1,1,1,0,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 10)(3 7)(4 13)(5 9)(6 8),"[[12, 9, 5, 8, 6, 3, 7, 10, 2, 0], [11, 13, 4, 1]]",2
11,0,0,0,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 2)(1 7)(3 11)(4 10)(5 9)(6 8),"[[2, 0], [7, 10, 4, 1], [11, 9, 5, 8, 6, 3]]",3
11,0,1,0,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 3)(1 11)(2 7)(4 10)(5 9)(6 8),"[[3, 6, 8, 5, 9, 11, 1, 4, 10, 7, 2, 0]]",1
11,1,0,0,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 11),(0 7)(1 3)(2 11)(4 10)(5 9)(6 8),"[[7, 10, 4, 1, 3, 6, 8, 5, 9, 11, 2, 0]]",1
13,1,1,0,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 11)(2 7)(3 13)(4 10)(5 9)(6 8),"[[12, 9, 5, 8, 6, 3, 13, 11, 1, 4, 10, 7, 2, 0]]",1
13,0,0,1,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 2)(1 12)(3 11)(4 10)(5 9)(6 8)(7 13),"[[2, 0], [12, 9, 5, 8, 6, 3, 11, 13, 7, 10, 4, 1]]",2
13,0,1,1,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 7)(1 13)(2 12)(3 11)(4 10)(5 9)(6 8),"[[7, 10, 4, 1, 13, 11, 3, 6, 8, 5, 9, 12, 2, 0]]",1
13,1,0,1,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 13),(0 12)(1 7)(2 13)(3 11)(4 10)(5 9)(6 8),"[[12, 9, 5, 8, 6, 3, 11, 13, 2, 0], [7, 10, 4, 1]]",2
15,1,1,1,1,1,1,(0 2)(1 4)(3 6)(5 8)(7 10)(9 12)(11 14)(13 15),(0 14)(1 13)(2 12)(3 11)(4 10)(5 9)(6 8)(7 15),"[[14, 11, 3, 6, 8, 5, 9, 12, 2, 0], [13, 15, 7, 10, 4, 1]]",2
